"mother_age_group","partner_age_group","p","p_lower","p_higher","se","n","uf"
"20-29","10-19",0.0106057459659837,-0.0101112237507202,0.0313227156826875,0.0105700767361628,119,"11"
"70+","10-19",0,0,0,0,28,"11"
"10-19","10-19",0.23281163399336,-0.0159668865841838,0.481590154570903,0.12693014899247,24,"11"
"50-59","60-69",0.203838004320601,0.118782124201201,0.28889388444,0.0433966546274879,92,"12"
"40-49","60-69",0.0247826371725209,0.000180440231590501,0.0493848341134512,0.0125523719491732,143,"12"
"30-39","60-69",0.0163371034828754,-0.00379094034231315,0.036465147308064,0.0102695988211804,162,"12"
"60-69","60-69",0.546729499402774,0.413202142693232,0.680256856112315,0.0681274542607864,58,"12"
"20-29","60-69",0.00701161035876428,-0.00657669791156441,0.020599918629093,0.00693293773636227,130,"12"
"70+","60-69",0.0901672845045738,-0.0345625456847516,0.214897114693899,0.0636388378425208,19,"12"
"10-19","60-69",0,0,0,0,15,"12"
"50-59","50-59",0.491326802373397,0.394937321717488,0.587716283029307,0.0491792101366239,92,"12"
"40-49","50-59",0.256725698491973,0.184750654665514,0.328700742318432,0.036722635923001,143,"12"
"30-39","50-59",0.0595410146941637,0.0136199333246311,0.105462096063696,0.0234295536712675,162,"12"
"60-69","50-59",0.13170577531866,0.0383337197146855,0.225077830922635,0.0476396792698649,58,"12"
"20-29","50-59",0.053655229230012,0.00881800717643386,0.0984924512835902,0.0228765540628544,130,"12"
"70+","50-59",0.0707224087117126,-0.0618299917287105,0.203274809152136,0.0676300184523693,19,"12"
"10-19","50-59",0,0,0,0,15,"12"
"50-59","30-39",0.0190794865742504,-0.0102059562152393,0.0483649293637401,0.0149418270031947,92,"12"
"40-49","30-39",0.152922759771947,0.0875859372121102,0.218259582331784,0.0333357261027272,143,"12"
"30-39","30-39",0.421923767468512,0.340862959103119,0.502984575833905,0.041358315257214,162,"12"
"60-69","30-39",0,0,0,0,58,"12"
"20-29","30-39",0.367153547702885,0.279216810545813,0.455090284859956,0.044866506655584,130,"12"
"70+","30-39",0,0,0,0,19,"12"
"10-19","30-39",0.143106279685717,-0.0224298394980908,0.308642398869526,0.0844587556146623,15,"12"
"50-59","40-49",0.149314708805461,0.0777833066004145,0.220846111010507,0.0364962839977046,92,"12"
"40-49","40-49",0.499636671368221,0.418777683897254,0.580495658839188,0.0412553435209895,143,"12"
"30-39","40-49",0.3687482032665,0.285641547294394,0.451854859238606,0.0424021342369763,162,"12"
"60-69","40-49",0.0604037038343911,0.00108671801143156,0.119720689657351,0.0302643243910829,58,"12"
"20-29","40-49",0.102723647035689,0.0470017135104564,0.158445580560921,0.0284300803304346,130,"12"
"70+","40-49",0,0,0,0,19,"12"
"10-19","40-49",0,0,0,0,15,"12"
"50-59","20-29",0.0126949220881914,-0.0122454871542742,0.0376353313306571,0.012724932416714,92,"12"
"40-49","20-29",0.0616480745030791,0.0181989906220271,0.105097158384131,0.0221683072871608,143,"12"
"30-39","20-29",0.112821371693237,0.0583391533119075,0.167303590074566,0.0277975609812618,162,"12"
"60-69","20-29",0,0,0,0,58,"12"
"20-29","20-29",0.460048353899606,0.367364461567381,0.55273224623183,0.0472885691080566,130,"12"
"70+","20-29",0,0,0,0,19,"12"
"10-19","20-29",0.669669457072374,0.398524999745667,0.940813914399082,0.138341550898619,15,"12"
"50-59","70+",0.123746075838099,0.0476807294508924,0.199811422225306,0.0388095633323879,92,"12"
"40-49","70+",0.00428415869225923,-0.00415806645711644,0.0127263838416349,0.00430733687759922,143,"12"
"30-39","70+",0.0206285393947122,-0.00904151927765634,0.0502985980670807,0.0151380632023865,162,"12"
"60-69","70+",0.261161021444175,0.149861823793109,0.372460219095242,0.0567863483864911,58,"12"
"20-29","70+",0,0,0,0,130,"12"
"70+","70+",0.839110306783714,0.665545793686059,1.01267481988137,0.0885549502269987,19,"12"
"10-19","70+",0,0,0,0,15,"12"
"50-59","10-19",0,0,0,0,92,"12"
"40-49","10-19",0,0,0,0,143,"12"
"30-39","10-19",0,0,0,0,162,"12"
"60-69","10-19",0,0,0,0,58,"12"
"20-29","10-19",0.00940761177304438,-0.00435081935093853,0.0231660428970273,0.00701973670562707,130,"12"
"70+","10-19",0,0,0,0,19,"12"
"10-19","10-19",0.187224263241908,-0.0568418593830702,0.431290385866887,0.124525820142687,15,"12"
"50-59","60-69",0.327442261694887,0.244691580672635,0.410192942717139,0.0422205110272325,137,"13"
"40-49","60-69",0.0794181002251095,0.0389684525099591,0.11986774794026,0.0206379545921313,189,"13"
"30-39","60-69",0.0151554877856443,0.00195280433237068,0.0283581712389179,0.00673618676537665,285,"13"
"60-69","60-69",0.537821401995834,0.407135736761551,0.668507067230117,0.0666775850296817,84,"13"
"20-29","60-69",0.00190077588959165,-0.00186897212604207,0.00567052390522538,0.00192337616679134,179,"13"
"70+","60-69",0.156881047137064,0.032170814604032,0.281591279670096,0.0636288388545557,34,"13"
"10-19","60-69",0,0,0,0,26,"13"
"50-59","50-59",0.480168646885849,0.39157429060969,0.568763003162007,0.0452020327796731,137,"13"
"40-49","50-59",0.223795353141132,0.152107060013573,0.295483646268691,0.0365763318576397,189,"13"
"30-39","50-59",0.0567171012792425,0.0286213780469539,0.0848128245115311,0.0143348160751443,285,"13"
"60-69","50-59",0.125220562744569,0.0478471711608726,0.202593954328266,0.0394769455939028,84,"13"
"20-29","50-59",0.0225960492415763,-0.00287869373648404,0.0480707922196367,0.0129975566791032,179,"13"
"70+","50-59",0.0103619553382976,-0.0100572686292348,0.0307811793058301,0.0104181628481935,34,"13"
"10-19","50-59",0,0,0,0,26,"13"
"50-59","30-39",0.0357847680546412,0.00339510463705332,0.0681744314722291,0.0165256421409135,137,"13"
"40-49","30-39",0.208023588356483,0.141639134321331,0.274408042391635,0.0338702417793306,189,"13"
"30-39","30-39",0.476969865619826,0.412838993773497,0.541100737466155,0.0327204338203074,285,"13"
"60-69","30-39",0,0,0,0,84,"13"
"20-29","30-39",0.405816535786875,0.323145751042292,0.488487320531457,0.0421797468712074,179,"13"
"70+","30-39",0,0,0,0,34,"13"
"10-19","30-39",0.0848459106447064,-0.0325187172792716,0.202210538568684,0.0598810125337686,26,"13"
"50-59","40-49",0.118349070204101,0.0629635725469813,0.173734567861222,0.0282584262231316,137,"13"
"40-49","40-49",0.475745785952199,0.391103053304195,0.560388518600202,0.0431858612278871,189,"13"
"30-39","40-49",0.339381320470349,0.275425716499377,0.403336924441322,0.0326310097917339,285,"13"
"60-69","40-49",0.0274146912271913,-0.0105239028716707,0.0653532853260533,0.0193567812460417,84,"13"
"20-29","40-49",0.0814331208296062,0.0334892237507563,0.129377017908456,0.0244616214670398,179,"13"
"70+","40-49",0.0743129924731662,-0.0145705402290166,0.163196525175349,0.0453495744836562,34,"13"
"10-19","40-49",0.0691065797342191,-0.0616835405870427,0.199896700055481,0.0667308794207024,26,"13"
"50-59","20-29",0,0,0,0,137,"13"
"40-49","20-29",0.0130171723250778,-0.00299007010114544,0.029024414751301,0.00816711049411433,189,"13"
"30-39","20-29",0.093219792831559,0.0574383732428253,0.129001212420293,0.0182561617820393,285,"13"
"60-69","20-29",0,0,0,0,84,"13"
"20-29","20-29",0.476851791729848,0.383979356004415,0.569724227455281,0.047384766484486,179,"13"
"70+","20-29",0,0,0,0,34,"13"
"10-19","20-29",0.643071710836001,0.452063490595557,0.834079931076444,0.0974549643499024,26,"13"
"50-59","70+",0.0382552531605223,0.00765712226065497,0.0688533840603897,0.0156115781418544,137,"13"
"40-49","70+",0,0,0,0,189,"13"
"30-39","70+",0.0143025454639445,-0.00438473117469068,0.0329898221025796,0.00953450001430538,285,"13"
